Inventory Description
19mm Nylon Strap 1000m                  
380 x 7.9mm Cable Ties                  
400 x 4.8mm Cable Ties                  
Seal 48 - 68 - 08                       
6207 2RS Bearing                        
72mm Circlip Internal                   
22222 E1KC3 FAG Bearing                 
U-Lock Seal 522 Pair                    
H322 Adapter Sleeve                     
924 Bolt Cutter Blade                   
Feather Duster 1m                       
M24 H/T Thread Rod                      
M24 Nut                                 
Seal 105 - 130 - 12                     
M16 Threaded Rod S/S                    
2 Galv Union                            
¾ Apex Glove Valve                      
Aluminium Sulphate Powder 17% Iron Free 
Plastic Roll Blue                       
Etchkote Primer 5L Black                
Q/D Enamel Gloss 5L Custom Tint         
EDTA MA4 25KG                           
Fumaric Acid CWS 25 KG                  
2  Suction Hose p/m                     
1½  PVC Nipple                          
Chalk Colour Box                        
PC Socks                                
Welding Helmet Auto Darkening           
2517 - 42mm Taperlock Bush              
Bulk Bag 1Ton                           
Relay MY3 24V                           
14 x 14 mm key steel 200mm              
1 Nut                                   
Contactor 30A 220V Coil 110V            
Aux Cont F/M 1NO / 1NC                  
Fuse 00 63A                             
GRN Illuminated 2Pos Sel SW             
110V GRN LED Body                       
1 NO Contact Block                      
Relay 8 Pin 110VAC 2 C/D                
Adhesive Cradles                        
Glue Devil                              
2 Clamp                                 
LW 64344                                
AL 13749                                
Clock Cards                             
300mm Knife Sharpeners                  
2 Solenoid Valve                        
110 x 75mm PVC Reducer                  
110mm PVC Tee                           
110mm PVC Bend                          
110mm PVC Socket                        
110mm Flange PVC                        
75mm Flange with Gasket                 
16mm x 100mm Galv Bolt                  
M16 Nut                                 
75mm PVC Pipe                           
38mm Rubber Hose                        
2 Rubber Suction Hose                   
Melio Promul Ap 39 A                    
WD 530                                  
AS 33280                                
PP 25824                                
300mm Butcher Knife                     
4 x 4 m Tarp                            
PVC Apron H/D                           
Plastic Sleeves                         
220 Solenoid Coil                       
300mm Copper Float                      
2 MF Quick Quipler                      
1 UNC Nut                               
M6 x 30 Allen Cap Countersunk           
2 Galv Nipple                           
DN50 PVC Union                          
Coach Screw 8 x 60 S/S                  
1½ Solenoid Valve                       
M6 x 35 mm Allen Cap Screw              
2 Jazwick Coupling                      
Pratley Steel Epoxy                     
Vice Grip                               
Small Cup Wire Brush                    
Sqeegee                                 
10 x 4 Trailing                         
A9F64440 60A 4Pin                       
A9F64463 63A 4P                         
S15 2 x 4 W/P Box                       
Cover 4 x 2 S/S/ HOR                    
SW Socket 4 x 2 HOR                     
Cabtyre 1.5mm 3C Black                  
C60A 1P 10A C CURVE 5K                  
C60A 1P 20A C CURVE 5K                  
C60A 1P 25A C CURVE 5K                  
NO 2 COMP.GLAND 12070                   
Gland PVC No 0                          
LED Fitting T8 Open Channel 5FT         
LED Frosted Tube 22W 220V 5FT           
150W LED Floodlight                     
Plugtop Rubber                          
Plug Janus Coupler 16A                  
Multi Plug 5 Way                        
Plugtop 16A                             
Coupler CEE 16A 3P                      
3 Hole Grey Enclosure                   
Metal Mushroom Head                     
E/Stop in Enclosure                     
1 Hole Grey Enclosure                   
2 Position Key Switch Left              
JBS 100 Yellow Strobe                   
Terminal Connector Red                  
Terminal Connector Blue                 
Terminal Connector Yellow               
Silicon Tube Gun                        
M10 H/T Nut                             
M10 Flat Washer                         
17 - 38mm Clamp                         
Paint Brush 25mm                        
IG5361 Sensor                           
Rain Suit Small                         
Rain Suit Medium                        
Flat Shovel                             
GW61052 63A 3 Phase Plug                
Plugtop Nova 16A 4Pin                   
Soc / Out Nova 16A 4Pin                 
3 Female Connector                      
3 x 2 Reducer                           
M12 S/S Thread Rod                      
M12 Washer                              
Thermal Oil Edge                        
Hydraulic 68 Industrial Oil             
Pedrollo Pump 1Phase 230V HFM50B        
Retcast                                 
Motar                                   
Access Cover 9 Frame                    
CP Pillar Taps                          
NPC Pro Cement BLU 32.5N 50KG           
Plaster Mix 40KG                        
SPA 2-200 Pulley 2517                   
1.25 mm Solder Wire                     
Proximity Sensor NPN N/O 12x50          
RD 1-5 T/G Ring                         
RVL2-5 Ring P/I                         
RV5-5 Ring P/I                          
Cable Ties T18R Black                   
GW63052 63A 3Phase Connector            
Round Shovel                            
PVC Enclosure 370 x 220 x 165           
2.5mm 4 Core 3 Phase Cable              
Tal 24 Test Leads                       
2 Ball Valve                            
2 Nipple FL PUM                         
Wilo Pump With unions                   
Cut Resistant Glove Size 7              
Tag No. 3                               
Cut Resistant Glove Size 8              
Hessian Cloth 50m                       
Aluminium Scoop                         
M24 Washer                              
¾ Hose Pipe                             
10 x 6mm PU Straight                    
1 Steam Gasket                          
Rain Suit Large                         
Rain Suit X Large                       
Duram Wall & Ceiling Base               
UCF X20 4 Hole Flange                   
Keysteel 5 x 5 mm                       
Allen Key Set                           
Ball Pen Hammer                         
S62 Agricultural Chain                  
¾ Polycop Pipe                          
22mm Tee Piece Copper                   
¾ Swage Nipple                          
22mm Copper to Copper Coupling          
2 Gate Valve                            
2 Swage Nipple                          
¾ Steam Valve                           
1½ Steam Valve                          
Pallet Jack                             
M16 x 90 Bolt                           
Superturb 32                            
Total Carter EP 220                     
Spray Paint Matt Black                  
5mm Drillbit                            
Sanitizer 500ML                         
Hacksaw Blades                          
8mm Chain Galv                          
D Shackles 8mm                          
100A 5KA 3Phase Isolator                
Insulation Tape Red                     
Insulation Tape White                   
Insulation Tape Blue                    
Cable Ties T50L Black                   
60mm Discus Lock                        
SD 3156 Complete With Seals             
BRG 23156 K Timken                      
Sleeve OH 3156                          
SD 3144 TS Housing Kit                  
23144 K C3 Bearing FAG                  
H3144 Sleeve                            
Padlock 38mm                            
8mm Bolt                                
8mm H/T Nut                             
Plastic Roll Red                        
Plastic Roll Light Blue                 
Plastic Roll Grey                       
9v Battery                              
Ear Plugs                               
4 Module Surface Mount                  
Eagle SA2 Siren/Strobe                  
22 KW Drive                             
2 Eblow                                 
2 Pipe 6m                               
2 Disc Filter F50                       
76 x 38 Channel Iron                    
Galvanised Rectogrid 35mm               
Enclosure 60 x 80 x 30                  
Enclosure 30 x 25 x 20                  
Grease Graphite Moly EP2 18Kg           
Grinder 810W Ryobi                      
Boiler Service                          
M60N3P01 MP80 Filter                    
Inline Filter                           
Allen Key Long Socket Set               
¾ Union                                 
¾ Tee                                   
¾ Elbow                                 
M20 H/T Nut                             
M20 H/T Threaded Rod                    
M20 H/T Washer                          
M20 Round Bar                           
¾ Nipple                                
3 x 2 Female Reducer                    
M24 Spring Washer                       
M16 Flat Washer                         
M16 x 75 Allen Cap                      
Isopropyl Alchohol                      
Metal Drum Bung Hole (Deposits)         
R2 Wire 310 Bar HP Hose 20M             
M25 x 1200mm Wood Dell                  
Washer Multi PK PK/6                    
Round Wire Nails 32 x 2mm 200G          
Clay Brick Stock YD                     
Builders Pride Clout Nails 20 x 3mm     
NPC Plus Cement 42.5N 50KG              
Masonite STD 2440x1220x3mm BRN          
Drill Bit HSS 3mm                       
¾ Steam Nipple                          
¾ Steam Pipe 6m                         
Holderbat Alum 110mm SD40               
Bracket CNR 50x50mm EG                  
Padbolt 100mm EG                        
Ruwac Drill Bit 3.5mm HSS               
Chipboard Screw 10x30mm 25PK            
Chipboard Screw 8x45mm 20PK             
Drill Bit HSS 4mm                       
High Pressure Gun                       
M6 x 35mm Countersunk Allen Cap         
13N x 3150 SPA V-Belt                   
3M 6059 ABEK1 Comb Filter               
2 Water Filter F50 Disc                 
2½ SH40 40 Elbow                        
2½ SH40 Pipe                            
¾ Clamp                                 
¾ Gate Valve                            
¾ Swage Union                           
Braking Resistor                        
½ Polycop Pipe                          
Non Return Hydraulic Valve 3/8          
Filter RET Elem & B/Pass 60M            
Filter Nylon Suct Strain 1/12 OD99 L255 
1 Hydraulic Hose Assembly               
Dowty Washer BSPP                       
P120 Control Valve Lever                
Nipple BSPP Male X JIC Male             
Nipple BSSP Male X BSSP Male            
Adaptor BSPT Male X JIC Female Swivel   
Elbow 90 JIC Male X JIC Female          
¾ Flow Control                          
Rubber Mallet                           
PadLock 63mm                            
Chain 16B1                              
Chain 16B1 Masterlink                   
Chain 16B1 K1 Master Link               
Refuse Bags                             
6mm Mason Drill Bit                     
Loctite Thread Lock                     
6mm Wall Anchor                         
M6 Tap Set                              
M30 HT Thread Rod                       
M30 Nuts                                
M30 Flat Washer                         
M30 Spring Washer                       
12V DC 10A Power Supply                 
SDS1-5 Terminal Ground Spade 1S 5A      
SVS2-5A Terminal Spade 2S 5A            
SVS5-5 Terminal Spade 3S5               
Contactor 12A 220V N/O                  
35mm Grey SCW Terminal                  
16mm Grey Terminal                      
2.5mm Terminal Grey                     
Ground Terminal                         
C60A 3P 32A C CURVE 5K                  
SW Isolating 3P 63A                     
2 Non Return Valve                      
Superglue 50G                           
M24 Steel Drillbit                      
PVC 50mm Pipe                           
Labyrinth Seal                          
Genkem Contact Adhessive                
Wheel Barrow Rubber Wheel 14 x 3        
Earth Leakage QA 17C 2.5KA              
Female Socket 9 Pin                     
Male Socket 9 Pin                       
35V 470uf Capacitor                     
6013 48V 11P Finder                     
20mm Angle PVC Bend                     
20mm 2 Way Conduit Box                  
Round Box Lid                           
20mm Solid Bend                         
5x12 Counter Sunk M Screws              
13N x 1100 V-Belt                       
50 x 50 Square Tube                     
WT 72518                                
WT 49511                                
LD 5981                                 
M6 x 45mm HT Countersunk Allen Cap      
M6 Washer                               
Chalk Soapstone Box 144                 
Spray Gun 1.8mm Nozzle                  
Padlock Tolsen Disc 70mm                
Smooth Matt Base 1L                     
Pallet 2m x 1m B Grade                  
Bio Gobler Soap                         
Pedrolo Pump HFM 50B 220V               
M6 x 60mm S/S Countersunk Allen Cap     
M6 x 45mm S/S Countersunk Allen Cap     
M6 x 60mm S/S Allen Cap                 
Parker Pneumatic PA10320                
Parker Pneumatic PA10278                
7308 B FAG Bearing                      
Spider                                  
O-Ring 8mm                              
Fixed Castors 6YY 150mm                 
Chuck Seared Impact 1.5 - 13mm          
Enclose Isolator 11KW                   
DP1 30S 48VDC Timer                     
Manual Starter 1 - 1.6A                 
Manual Starter 2.5 - 4A                 
Aux Cont 140-MN NC / NC                 
Wire Panel 1mm Green                    
Wire Panel 6mm Blue                     
Wire Panel 6mm Red                      
Wire Panel 6mm Yellow                   
Screwdriver Set 7 Piece                 
1 Air Water Trap                        
Temperature Sensor RKC RB100 FD01       
Pilot Light Green 220V                  
22KW 6 Pole Motor                       
Pallet 2m x 1m A Grade Kiln Dried       
30mm Cone Clamping Element Flanged      
30mm x 9m Bright Mild Steel             
Brass Quick Coupling                    
½ Inserts                               
½ Male Sockets                          
Chain 12B                               
PVC 50mm x 63mm x 1½ Male               
Fan APS                                 
M6 x 30mm Allen Cap S/S Countersunk     
Silicone Hybriflex 600ML                
30mm Hole Saw                           
35mm Hole Saw                           
RAE 45 NPP                              
Seal 44.55 - 63.50 - 12.71              
Drill Bit Set                           
Linkbasic 100m CAT6                     
Linkbasic RJ45 CAT6 Plug Shielded       
Linkbasic Black Boot RJ45               
Linkbasic Red Boot RJ45                 
Linkbasic 24 Port CAT6 Patch Panel      
Trunking 25mm x 16mm                    
Linkbasic Three Port Faceplate 115 x 70 
HRC 180 Insert                          
Trunking Ducting 100 x 40mm             
Linkbasic 6 Way Aluminium Molded Rack   
Linkbasic Cat6 UTP Keystone Jack        
PG 473 V-Belt                           
Sponge 55mm x 30mm                      
Keysteel 4 x 4mm 200 Long               
075 KW Drive 220V                       
Whell Barrow Concrete Pan               
Padlock 32mm Iron                       
Endure Smooth Matt Base Pastel 1L       
Endure Smooth Matt Base Deep 1L         
AAA Rechargeable Battery                
Endure Smooth Matt Base Clear 1L        
Rags 5KG                                
6 Flange Gasket                         
3 KW Drive                              
20mm Conduit Box 1 way                  
5x20 C/H Round Box Screws               
¼ Brine Valve                           
46 Piece ¼ Drive Set                    
10mm Drive Tool Set                     
Steel Claw Hammer Forged                
Flush Cutter 100mm                      
113 Piece Assorted Drill Bit Set        
16 Piece Masonry Drill Bit Set          
5 x 35mm Hammer Screw                   
20mm x 4m Conduit Pipe                  
Drain Unblocking                        
316 S/S Sheet                           
PLC UU90                                
20mm Saddle                             
20mm Conduit Gland                      
20mm Flexible Conduit                   
20mm Conduit Coupling                   
Grease Gun Foot Unit                    
Grease Nipple Samming                   
Sharpening Stone                        
Small Digital Vernier                   
Canopy Latch Hook                       
Canopy Rubber                           
Bosch Blade                             
Chain 8mm Grade 800 Max Alloy           
LD PP 500                               
40W50 Engine Oil                        
Wire Ties Steel                         
Galvanized 0.5mm x 16 x 5300mm Sheet    
Galvanized 0.5mm x 10 x 4000mm Sheet    
M12 x 45mm Bolt 1mm Pitch               
Flatbar 130 x 20 x 6.5m                 
114 x 3.9mm Black Medium Pipe           
